"Mixed.effects.model","MAE","RMSE","R2"
"DHW",0.612247112196598,1.05144397790914,0.354675432272217
"SST",0.86748785322418,1.07523654456742,0.759551635318575
"SSTA",0.324825108191035,0.412868551153176,0.491366040688049
